co_id_comprobante	co_estatus	co_id_emisor	co_num_comprobante	co_codigo_tipo_documento	DescripcionEstatus	em_nemonico	em_pais
267002148414675720	61	1747	0002-002-0000441700	01	RechazadoLicencia	COFA	507
267002148414627619	61	1747	0002-003-0000836530	01	RechazadoLicencia	COFA	507
267002148414668825	61	1747	0003-001-0200589379	01	RechazadoLicencia	COFA	507
267002148415028527	61	1747	0003-001-0200589380	01	RechazadoLicencia	COFA	507
267002148414853926	61	1747	0003-002-0200709057	01	RechazadoLicencia	COFA	507
267002148415073380	61	665	0002-001-0014241101	01	RechazadoLicencia	PASL	507
267002148415514881	61	665	0002-001-0014241102	01	RechazadoLicencia	PASL	507
267002148415819982	61	665	0002-001-0014241103	01	RechazadoLicencia	PASL	507
267002148415409450	61	665	0006-001-0017150971	01	RechazadoLicencia	PASL	507
267002148595468444	61	665	0010-001-0022088505	01	RechazadoLicencia	PASL	507
267002148595763145	61	665	0010-001-0022088506	01	RechazadoLicencia	PASL	507
267002148594522554	61	665	0003-001-0015295133	01	RechazadoLicencia	PASL	507
267002148595047055	61	665	0003-001-0015295134	01	RechazadoLicencia	PASL	507
267002148595638756	61	665	0003-001-0015295135	01	RechazadoLicencia	PASL	507
267002148564213404	4	1996	0002-002-0000014123	01	Autorizado	HEST	507
261021148382554469	4	680	0000-001-0000000581	01	Autorizado	AGMA	507
267002148564708212	4	1996	0004-001-0000043988	01	Autorizado	HEST	507
261021148385033977	4	680	0000-001-0000000582	01	Autorizado	AGMA	507
267002148564857946	4	1996	0007-002-0000056655	01	Autorizado	HEST	507
261059148385358884	4	653	0001-109-0000135456	01	Autorizado	CHAM	507
261021148385490578	4	680	0000-001-0000000583	01	Autorizado	AGMA	507
267002148565004303	4	1996	0005-001-0000067189	01	Autorizado	HEST	507
261059148385986385	4	653	0001-109-0000135457	01	Autorizado	CHAM	507
267002148385629337	4	2142	0002-001-0000012770	01	Autorizado	VFAM	507
261018148385955573	4	2071	0001-114-0000000016	01	Autorizado	HPOP	507
261010148385852655	4	1602	0001-108-0000078870	01	Autorizado	SITR	507
267002148565680904	4	1996	0005-001-0000067190	01	Autorizado	HEST	507
261059148386492886	4	653	0001-109-0000135458	01	Autorizado	CHAM	507
261059148387262387	4	653	0001-109-0000135459	01	Autorizado	CHAM	507
267002148386303639	4	2142	0002-001-0000012772	01	Autorizado	VFAM	507
267002148386068438	4	2142	0002-001-0000012771	01	Autorizado	VFAM	507
261021148385937680	4	680	0000-001-0000000584	01	Autorizado	AGMA	507
267002148386712509	4	1996	0005-003-0000042546	01	Autorizado	HEST	507
267002148566674933	4	1996	0001-001-0000061510	01	Autorizado	HEST	507
261018148388054074	4	2071	0001-113-0000012071	01	Autorizado	HPOP	507
267002148387339640	4	2142	0002-001-0000012773	01	Autorizado	VFAM	507
267002148387624441	4	2142	0002-001-0000012774	01	Autorizado	VFAM	507
261018148388275075	4	2071	0001-114-0000000017	01	Autorizado	HPOP	507
267002148567677534	4	1996	0001-001-0000061511	01	Autorizado	HEST	507
267002148568409213	4	1996	0004-001-0000043989	01	Autorizado	HEST	507
261021148387639684	4	680	0000-001-0000000585	01	Autorizado	AGMA	507
261059148389428588	4	653	0001-109-0000135460	01	Autorizado	CHAM	507
267002148569557434	4	1996	0003-001-0000054846	01	Autorizado	HEST	507
267002148389484710	4	1996	0005-003-0000042547	01	Autorizado	HEST	507
267002148389227913	4	2097	0001-001-0000103785	01	Autorizado	CYPP	507
267002148389359014	4	2097	0001-001-0000103786	01	Autorizado	CYPP	507
267002148389553015	4	2097	0001-001-0000103787	01	Autorizado	CYPP	507
267002148389767817	4	2097	0001-001-0000103789	01	Autorizado	CYPP	507
267002148570146605	4	1996	0005-001-0000067191	01	Autorizado	HEST	507
267002148570042109	4	1996	0006-001-0000041231	01	Autorizado	HEST	507
267002148570527614	4	1996	0004-001-0000043990	01	Autorizado	HEST	507
261010148391182156	4	1602	0001-108-0000078871	01	Autorizado	SITR	507
267002148391053318	4	2097	0001-001-0000103790	01	Autorizado	CYPP	507
267002148570720907	4	1996	0008-002-0000006382	01	Autorizado	HEST	507
261018148391888977	4	2071	0001-113-0000012072	01	Autorizado	HPOP	507
261018148391869376	4	2071	0001-110-0000001229	01	Autorizado	HPOP	507
267002148571572469	4	658	0002-001-0000018822	01	Autorizado	HATR	507
267002148572382325	4	1996	0002-001-0000046082	01	Autorizado	HEST	507
261010148392748257	4	1602	0001-108-0000078872	01	Autorizado	SITR	507
267002148574418770	4	658	0002-001-0000018823	01	Autorizado	HATR	507
267002148574638515	4	1996	0004-001-0000043991	01	Autorizado	HEST	507
261178148368425686	4	826	0000-001-0000001372	01	Autorizado	ACSE	507
261018148395708378	4	2071	0001-110-0000001230	01	Autorizado	HPOP	507
267002148575808706	4	1996	0005-001-0000067192	01	Autorizado	HEST	507
267002148575729335	4	1996	0001-001-0000061512	01	Autorizado	HEST	507
267002148576072947	4	1996	0007-002-0000056656	01	Autorizado	HEST	507
267002148576840635	4	1996	0003-001-0000054847	01	Autorizado	HEST	507
267002148575913301	4	2119	PA02-002-0000003269	01	Autorizado	ADOC	507
267002148590822441	4	1996	0003-001-0000054853	01	Autorizado	HEST	507
267002148591395354	4	1996	0007-002-0000056663	01	Autorizado	HEST	507
261178148411052435	4	591	0001-005-0000016972	01	Autorizado	BRRE	507
267002148590525510	4	1996	0008-002-0000006385	01	Autorizado	HEST	507
267002148592177511	4	1996	0008-002-0000006386	01	Autorizado	HEST	507
267002148413853501	4	2119	PA01-001-0000003132	01	Autorizado	ADOC	507
267002148593512555	4	1996	0007-002-0000056664	01	Autorizado	HEST	507
267002148413660802	4	2119	PC01-002-0000000728	01	Autorizado	ADOC	507
261178148413117003	4	1970	0001-001-0000006361	01	Autorizado	PABP	507
261010148414477465	4	1602	0001-101-0000159470	01	Autorizado	SITR	507
267002148594242406	4	1996	0005-002-0000032817	01	Autorizado	HEST	507
267002148594761932	4	1996	0002-001-0000046089	01	Autorizado	HEST	507
261010148414776566	4	1602	0001-108-0000078879	01	Autorizado	SITR	507
261178148414324804	4	1585	0008-001-0000002295	01	Autorizado	ARAV	507
267002148594113038	4	1996	0001-001-0000061515	01	Autorizado	HEST	507
267002148595067439	4	1996	0001-001-0000061516	01	Autorizado	HEST	507
261010148415849768	4	1602	0001-108-0000078881	01	Autorizado	SITR	507
261010148415399567	4	1602	0001-108-0000078880	01	Autorizado	SITR	507
267002148595204817	4	1996	0006-001-0000041239	01	Autorizado	HEST	507
267002148595607373	4	658	0002-001-0000018826	01	Autorizado	HATR	507
267002148596003918	4	1996	0006-001-0000041240	01	Autorizado	HEST	507
267002148596084615	4	1996	0005-001-0000067201	01	Autorizado	HEST	507
267002148415502901	4	2119	PV01-001-0000002776	01	Autorizado	ADOC	507
267002148595608840	4	1996	0001-001-0000061517	01	Autorizado	HEST	507
267002148596443819	4	1996	0004-001-0000043995	01	Autorizado	HEST	507
267002148370196868	61	665	0001-001-0013833436	01	RechazadoLicencia	PASL	507
267002148370014257	61	665	0002-001-0014241078	01	RechazadoLicencia	PASL	507
267002148549737509	61	665	0003-001-0015295088	01	RechazadoLicencia	PASL	507
267002148549909010	61	665	0003-001-0015295089	01	RechazadoLicencia	PASL	507
267002148550268811	61	665	0003-001-0015295090	01	RechazadoLicencia	PASL	507
267002148550470312	61	665	0003-001-0015295091	01	RechazadoLicencia	PASL	507
267002148550625113	61	665	0003-001-0015295092	01	RechazadoLicencia	PASL	507
267002148371273023	61	1747	0002-003-0000836482	01	RechazadoLicencia	COFA	507
263123148372026983	50	1743	0000-000-0000000000	NULL	Error	CAPA	507
267002148371300465	61	1747	0003-003-0200134789	01	RechazadoLicencia	COFA	507
267002148370990869	61	665	0001-001-0013833437	01	RechazadoLicencia	PASL	507
267002148551065514	61	665	0003-001-0015295093	01	RechazadoLicencia	PASL	507
267002148371819325	61	1747	0002-005-0000104106	01	RechazadoLicencia	COFA	507
267002148371608424	61	1747	0002-003-0000836483	01	RechazadoLicencia	COFA	507
267002148372316426	61	1747	0002-003-0000836484	01	RechazadoLicencia	COFA	507
26714855302260086	20	644	1902-001-0000081319	01	EnProcesamientoAut	JJSA	507
267002148372092537	61	665	0011-001-0024578299	01	RechazadoLicencia	PASL	507
267002148372403738	61	665	0011-001-0024578300	01	RechazadoLicencia	PASL	507
267002148372782739	61	665	0011-001-0024578301	01	RechazadoLicencia	PASL	507
267002148372721067	61	1747	0003-003-0200134790	01	RechazadoLicencia	COFA	507
267002148372907070	61	1747	0003-003-0200134791	01	RechazadoLicencia	COFA	507
267002148373069171	61	1747	0003-003-0200134792	01	RechazadoLicencia	COFA	507
267002148372870968	61	1747	0003-001-0200589355	01	RechazadoLicencia	COFA	507
267002148372110466	61	1747	0003-002-0200709026	01	RechazadoLicencia	COFA	507
